grov_nm,grovr_h,area_ha,prop_area_grove,prop_strata,strata_nm,new_density,old_density,total.strata.area.ha,prop_area_seki,plots_per_strata_by_grv,count_plots,to_est,,,,,,,,,,,,,,,,
Atwell,645.3524,12.443,0.02,5%,NW_E-over5-Low-many,0.06,0.05,247.675,0.03,1,0,,,,,,,,,,,,,,,,,
Big Stump,91.96912,3.534,0.04,1%,NW_E-over5-Low-many,0.08,0.08,247.675,0.03,0,0,,,,,,,,,,,,,,,,,
East Fork,466.6036,106.919,0.23,43%,NW_E-over5-Low-many,0.04,0.03,247.675,0.03,4,0,,,,,,,,,,,,,,,,,
General Grant,100.6304,12.437,0.12,5%,NW_E-over5-Low-many,0.23,0.21,247.675,0.03,6,0,,,,,,,,,,,,,,,,,
Giant Forest,1190.224,104.26,0.09,42%,NW_E-over5-Low-many,0.03,0.02,247.675,0.03,5,0,,,,,,,,,,,,,,,,,
Sequoia Creek,24.67816,8.082,0.33,3%,NW_E-over5-Low-many,0.56,0.57,247.675,0.03,5,0,,,,,,,,,,,,,,,,,
East Fork,466.6036,36.699,0.08,57%,NW_E-over5-Low-one,0.04,0.03,63.99,0.01,3,0,1,,,,,,,,,,,,,,,,
Redwood Meadow,190.0154,27.291,0.14,43%,NW_E-over5-Low-one,0.16,0.12,63.99,0.01,0,0,1,,,,,,,,,,,,,,,,
General Grant,100.6304,2.495,0.02,100%,NW_E-over5-Moderate-many,0.23,0.21,2.495,0,2,0,,,,,,,,,,,,,,,,,
General Grant,100.6304,2.629,0.03,39%,NW_E-over5-Moderate-one,0.23,0.21,6.76,0,2,0,,,,,,,,,,,,,,,,,
Redwood Meadow,190.0154,4.131,0.02,61%,NW_E-over5-Moderate-one,0.16,0.12,6.76,0,0,0,,,,,,,,,,,,,,,,,
Big Stump,91.96912,9.243,0.1,4%,NW_E-over5-Unburned-none,0.08,0.08,233.046,0.03,3,0,,,,,,,,,,,,,,,,,
Cahoon,24.20668,9.204,0.38,4%,NW_E-over5-Unburned-none,0.00,0,233.046,0.03,0,0,0,,,,,,,,,,,,,,,,
East Fork,466.6036,134.022,0.29,58%,NW_E-over5-Unburned-none,0.04,0.03,233.046,0.03,5,0,1,,,,,,,,,,,,,,,,
General Grant,100.6304,6.4,0.06,3%,NW_E-over5-Unburned-none,0.23,0.21,233.046,0.03,4,0,1,,,,,,,,,,,,,,,,
Giant Forest,1190.224,20.628,0.02,9%,NW_E-over5-Unburned-none,0.03,0.02,233.046,0.03,1,0,1,,,,,,,,,,,,,,,,
Horse Creek,60.19408,50.611,0.84,22%,NW_E-over5-Unburned-none,0.02,0.02,233.046,0.03,1,0,0,,,,,,,,,,,,,,,,
Redwood Creek,62.62461,2.938,0.05,1%,NW_E-over5-Unburned-none,0.10,0.02,233.046,0.03,0,0,,,,,,,,,,,,,,,,,
